Designator,Mid X,Mid Y,Rotation,Layer
C1,451.4376,-175.184399,180.0,top
C10,442.7378,-167.424999,90.0,top
C11,431.0532,-193.135426,90.0,top
C12,421.181513,-185.5012,180.0,top
C13,421.209912,-179.5576,180.0,top
C14,399.3316,-174.3122,90.0,top
C15,413.5556,-162.6188,90.0,top
C2,451.4376,-176.809999,180.0,top
C3,459.197,-164.046199,270.0,top
C4,432.3516,-157.371,90.0,top
C5,421.6836,-193.127113,90.0,top
C8,430.5228,-157.4088,90.0,top
C9,442.7378,-160.998199,270.0,top
F1,420.2612,-198.0488,0.0,top
F2,432.4532,-197.8456,180.0,top
F3,427.3732,-181.1832,90.0,top
F4,421.2772,-173.6648,0.0,top
H5,379.436138,-142.262243,0.0,top
H6,470.336795,-142.261906,0.0,top
H7,379.4364,-213.662199,0.0,top
H8,470.336795,-213.6626,0.0,top
J1,426.2784,-205.3164,0.0,top
J2,431.2848,-176.916,90.0,top
J3,431.1424,-172.6238,90.0,top
J4,399.9832,-211.734599,0.0,top
J5,447.276713,-146.132199,90.0,top
R1,428.4908,-157.421,90.0,top
R2,434.3836,-157.421,270.0,top
R3,436.631,-169.6008,0.0,top
R4,452.4914,-165.646199,270.0,top
R5,454.117,-165.621799,270.0,top
R6,390.1876,-174.2622,270.0,top
R7,455.7126,-165.645799,270.0,top
U1,431.3356,-163.9112,0.0,top
U2,453.149,-170.725199,90.0,top
U3,462.0418,-170.917199,270.0,top
U4,407.4342,-167.5322,180.0,top
Y1,422.598,-165.9448,270.0,top
Y2,446.3954,-164.211599,90.0,top
